folio_estudiante,nombre,apellido1,apellido2,periodo,correo
32,Estefany,Cortez,Mora,julio-2023-2024,EstefanyCortez@gmail.com
33,Ximen,Francisco,Mascareñas,julio-2023-2024,XimenFrancisco@gmail.com
34,Amato,Chaya,Solís,julio-2023-2024,AmatoChaya@gmail.com
35,Chaya,Clementina,Xenia,julio-2023-2024,ChayaClementina@gmail.com
36,Florencia,Romeo,Negrete,julio-2023-2024,FlorenciaRomeo@gmail.com
37,Amora,Heriberto,Henríquez,julio-2023-2024,AmoraHeriberto@gmail.com
38,Dia,Tohias,Trujillo,julio-2023-2024,DiaTohias@gmail.com
39,Armanda,Neron,Matías,julio-2023-2024,ArmandaNeron@gmail.com
40,Raimundo,Yago,Delgadillo,julio-2023-2024,RaimundoYago@gmail.com
41,Brisa,Agacia,Garay,julio-2023-2024,BrisaAgacia@gmail.com
42,Ester,Belicia,Navarrete,julio-2023-2024,EsterBelicia@gmail.com
43,Basilio,Belle,Navarrete,julio-2023-2024,BasilioBelle@gmail.com
44,Estefan,Dulcinea,Barrios,julio-2023-2024,EstefanDulcinea@gmail.com
45,Concha,Carlotta,Mascareñas,julio-2023-2024,ConchaCarlotta@gmail.com
46,Carla,Katia,Armijo,julio-2023-2024,CarlaKatia@gmail.com
47,Amalur,Carla,Tirado,julio-2023-2024,AmalurCarla@gmail.com
48,Cristian,Feliciano,Corral,julio-2023-2024,CristianFeliciano@gmail.com
49,Abril,Leo,Espinal,julio-2023-2024,AbrilLeo@gmail.com
50,Salvador,Pasqual,Carrasco,julio-2023-2024,SalvadorPasqual@gmail.com
51,Fausta,Fernando,Borrego,julio-2023-2024,FaustaFernando@gmail.com
52,Chavela,Tonio,Armenta,julio-2023-2024,ChavelaTonio@gmail.com
53,Ramone,Adonia,Feliciano,julio-2023-2024,RamoneAdonia@gmail.com
54,Clodoveo,Hermosa,Reyna,julio-2023-2024,ClodoveoHermosa@gmail.com
55,Elvera,Ivan,Maestas,julio-2023-2024,ElveraIvan@gmail.com
56,Eskarne,Emest,Briseño,julio-2023-2024,EskarneEmest@gmail.com
57,Faqueza,Chayo,Águilar,julio-2023-2024,FaquezaChayo@gmail.com
58,Leonel,Breezy,de Jesús,julio-2023-2024,LeonelBreezy@gmail.com
59,Alazne,Justino,Soto,julio-2023-2024,AlazneJustino@gmail.com
60,Graciana,Artemisia,Krauel natera,julio-2023-2024,GracianaArtemisia@gmail.com
61,Amata,Toli,Sauceda,julio-2023-2024,AmataToli@gmail.com
62,Eldora,Adana,Urrutia,julio-2023-2024,EldoraAdana@gmail.com
63,Rufio,Jeronimo,Villanueva,julio-2023-2024,RufioJeronimo@gmail.com
64,Jorge,Leandro,Guevara,julio-2023-2024,JorgeLeandro@gmail.com
65,Carola,Alita,Jaime,julio-2023-2024,CarolaAlita@gmail.com
66,Calida,Bartolo,Quintairos,julio-2023-2024,CalidaBartolo@gmail.com
67,Amor,Concepcion,Nájera,julio-2023-2024,AmorConcepcion@gmail.com
68,Manolo,Jorge,Santiago,julio-2023-2024,ManoloJorge@gmail.com
69,Patricio,Blanco,Girón,julio-2023-2024,PatricioBlanco@gmail.com
70,Alisa,Estefani,Nájera,julio-2023-2024,AlisaEstefani@gmail.com
71,Chrisanne,Florida,Zambrano,julio-2023-2024,ChrisanneFlorida@gmail.com
72,Arama,Dani,Samaniego,julio-2023-2024,AramaDani@gmail.com
73,Ciri,Leandro,Valle,julio-2023-2024,CiriLeandro@gmail.com
74,Elisa,Crista,Nevárez,julio-2023-2024,ElisaCrista@gmail.com
75,Romeo,Aldonsa,Navarrete,julio-2023-2024,RomeoAldonsa@gmail.com
76,Taurino,Blanca,Mascareñas,julio-2023-2024,TaurinoBlanca@gmail.com
77,Jerold,Gala,Meléndez,julio-2023-2024,JeroldGala@gmail.com
78,Galenia,Teodor,Zambrana,julio-2023-2024,GaleniaTeodor@gmail.com
79,Adelina,Belicia,Ríos,julio-2023-2024,AdelinaBelicia@gmail.com
80,Cristobal,Devera,Ayala,julio-2023-2024,CristobalDevera@gmail.com
81,Blanca,Duena,Acuña,julio-2023-2024,BlancaDuena@gmail.com
82,Pancho,Lazaro,Granado,julio-2023-2024,PanchoLazaro@gmail.com
83,Belicia,Eskame,Morales,julio-2023-2024,BeliciaEskame@gmail.com
84,Cedro,Chalina,Villa,julio-2023-2024,CedroChalina@gmail.com
85,Briza,Cidro,Kardache soto,julio-2023-2024,BrizaCidro@gmail.com
86,Acacia,Fortuna,Mojica,julio-2023-2024,AcaciaFortuna@gmail.com
87,Efrain,Tauro,Casárez,julio-2023-2024,EfrainTauro@gmail.com
88,Cesara,Reynaldo,Armenta,julio-2023-2024,CesaraReynaldo@gmail.com
89,Francisco,Cisco,Medrano,julio-2023-2024,FranciscoCisco@gmail.com
90,Rafe,Mauro,Kanea,julio-2023-2024,RafeMauro@gmail.com
91,Antonia,Fermina,Pulido,julio-2023-2024,AntoniaFermina@gmail.com
92,Anitia,Estella,Regalado,julio-2023-2024,AnitiaEstella@gmail.com
93,Evarado,Angelia,Anguiano,julio-2023-2024,EvaradoAngelia@gmail.com
94,Brisia,Palben,Barela,julio-2023-2024,BrisiaPalben@gmail.com
95,Estefan,Montes,Cortez,julio-2023-2024,EstefanMontes@gmail.com
96,Pueblo,Ivan,Arellano,julio-2023-2024,PuebloIvan@gmail.com
97,Alys,Jeremias,Zambrana,julio-2023-2024,AlysJeremias@gmail.com
98,Neron,Leonel,Esquibel,julio-2023-2024,NeronLeonel@gmail.com
99,Laurence,Rufo,Chapa,julio-2023-2024,LaurenceRufo@gmail.com
100,Pepe,Frascuelo,Luevano,julio-2023-2024,PepeFrascuelo@gmail.com
1,Andera,Geronimo,Almaraz,julio-2023-2024,AnderaGeronimo@gmail.com
2,Conchetta,Emerald,Villagómez,julio-2023-2024,ConchettaEmerald@gmail.com
3,Vidal,Benigna,Tirado,julio-2023-2024,VidalBenigna@gmail.com
4,Rosario,Heloise,Hinojosa,julio-2023-2024,RosarioHeloise@gmail.com
5,Lia,Domenica,Calderón,julio-2023-2024,LiaDomenica@gmail.com
6,Chrysann,Jose,Méndez,julio-2023-2024,ChrysannJose@gmail.com
7,Esteban,Elysa,Samaniego,julio-2023-2024,EstebanElysa@gmail.com
8,Rodrigo,Chago,Mares,julio-2023-2024,RodrigoChago@gmail.com
9,Raymon,Delcine,Zavala,julio-2023-2024,RaymonDelcine@gmail.com
10,Cristiano,Estela,Carrasquillo,julio-2023-2024,CristianoEstela@gmail.com
11,Criston,Geronimo,Berríos,julio-2023-2024,CristonGeronimo@gmail.com
12,Jorge,Sabino,Ornelas,julio-2023-2024,JorgeSabino@gmail.com
13,Montrelle,Ramiro,Peña,julio-2023-2024,MontrelleRamiro@gmail.com
14,Cristina,Emesta,Chávez,julio-2023-2024,CristinaEmesta@gmail.com
15,Oliverio,Constantia,Kyra,julio-2023-2024,OliverioConstantia@gmail.com
16,Blinda,Mani,Bétancourt,julio-2023-2024,BlindaMani@gmail.com
17,Valentin,Fidelity,Osorio,julio-2023-2024,ValentinFidelity@gmail.com
18,Florida,Lalla,Montemayor,julio-2023-2024,FloridaLalla@gmail.com
